,fdc_id,data_type,description,food_category_id,publication_date
321,2341081,survey_fndds_food,"Fudgesicle, light",,2022-10-28
322,2341082,survey_fndds_food,"Pudding, chocolate, NFS",,2022-10-28
323,2341083,survey_fndds_food,"Pudding, bread",,2022-10-28
325,2341085,survey_fndds_food,Custard,,2022-10-28
326,2341086,survey_fndds_food,Flan,,2022-10-28
327,2341087,survey_fndds_food,Creme brulee,,2022-10-28
328,2341088,survey_fndds_food,"Pudding, rice",,2022-10-28
329,2341089,survey_fndds_food,"Firni, Indian pudding",,2022-10-28
330,2341090,survey_fndds_food,"Pudding, tapioca, made from dry mix",,2022-10-28
332,2341092,survey_fndds_food,"Pudding, chocolate, made from dry mix",,2022-10-28
334,2341094,survey_fndds_food,"Pudding, chocolate, made from dry mix, sugar free",,2022-10-28
337,2341097,survey_fndds_food,"Pudding, chocolate, ready-to-eat",,2022-10-28
338,2341098,survey_fndds_food,"Pudding, chocolate, ready-to-eat, sugar free",,2022-10-28
339,2341099,survey_fndds_food,"Pudding, tapioca, ready-to-eat",,2022-10-28
340,2341100,survey_fndds_food,Banana pudding,,2022-10-28
341,2341101,survey_fndds_food,Mousse,,2022-10-28
342,2341102,survey_fndds_food,Dulce de leche,,2022-10-28
344,2341104,survey_fndds_food,Trifle,,2022-10-28
345,2341105,survey_fndds_food,Tiramisu,,2022-10-28
347,2341107,survey_fndds_food,"Cheese, NFS",,2022-10-28
349,2341109,survey_fndds_food,"Cheese, Brick",,2022-10-28
350,2341110,survey_fndds_food,"Cheese, Camembert",,2022-10-28
351,2341111,survey_fndds_food,"Cheese, Brie",,2022-10-28
352,2341112,survey_fndds_food,"Cheese, Cheddar",,2022-10-28
353,2341113,survey_fndds_food,"Cheese, Cheddar, reduced fat",,2022-10-28
355,2341115,survey_fndds_food,"Cheese, Colby",,2022-10-28
356,2341116,survey_fndds_food,"Cheese, Colby Jack",,2022-10-28
357,2341117,survey_fndds_food,"Cheese, Feta",,2022-10-28
358,2341118,survey_fndds_food,"Cheese, Fontina",,2022-10-28
359,2341119,survey_fndds_food,"Cheese, goat",,2022-10-28
361,2341121,survey_fndds_food,"Cheese, Gruyere",,2022-10-28
362,2341122,survey_fndds_food,"Cheese, Limburger",,2022-10-28
363,2341123,survey_fndds_food,"Cheese, Monterey",,2022-10-28
364,2341124,survey_fndds_food,"Cheese, Monterey, reduced fat",,2022-10-28
365,2341125,survey_fndds_food,"Cheese, Mozzarella, NFS",,2022-10-28
366,2341126,survey_fndds_food,"Cheese, Mozzarella, part skim",,2022-10-28
367,2341127,survey_fndds_food,"Cheese, Mozzarella, reduced sodium",,2022-10-28
369,2341129,survey_fndds_food,"Cheese, Muenster",,2022-10-28
370,2341130,survey_fndds_food,"Cheese, Muenster, reduced fat",,2022-10-28
371,2341131,survey_fndds_food,"Cheese, Parmesan, dry grated",,2022-10-28
372,2341132,survey_fndds_food,"Cheese, Parmesan, dry grated, reduced fat",,2022-10-28
373,2341133,survey_fndds_food,"Cheese, Parmesan, hard",,2022-10-28
374,2341134,survey_fndds_food,"Cheese, Parmesan, dry grated, fat free",,2022-10-28
376,2341136,survey_fndds_food,"Cheese, Provolone",,2022-10-28
377,2341137,survey_fndds_food,"Cheese, provolone, reduced fat",,2022-10-28
378,2341138,survey_fndds_food,"Cheese, Swiss",,2022-10-28
379,2341139,survey_fndds_food,"Cheese, Swiss, reduced sodium",,2022-10-28
380,2341140,survey_fndds_food,"Cheese, Swiss, reduced fat",,2022-10-28
382,2341142,survey_fndds_food,"Cheese, Cheddar, reduced sodium",,2022-10-28
383,2341143,survey_fndds_food,"Cheese, paneer",,2022-10-28
384,2341144,survey_fndds_food,"Cheese, Mexican blend",,2022-10-28
385,2341145,survey_fndds_food,"Cheese, Mexican blend, reduced fat",,2022-10-28
386,2341146,survey_fndds_food,"Queso Anejo, aged Mexican cheese",,2022-10-28
387,2341147,survey_fndds_food,Queso Asadero,,2022-10-28
388,2341148,survey_fndds_food,Queso Fresco,,2022-10-28
389,2341149,survey_fndds_food,Queso cotija,,2022-10-28
390,2341150,survey_fndds_food,"Cheese, cottage, NFS",,2022-10-28
392,2341152,survey_fndds_food,"Cottage cheese, farmer's",,2022-10-28
393,2341153,survey_fndds_food,"Cheese, Ricotta",,2022-10-28
394,2341154,survey_fndds_food,"Cheese, cottage, with fruit",,2022-10-28
395,2341155,survey_fndds_food,"Cheese, cottage, with vegetables",,2022-10-28
396,2341156,survey_fndds_food,"Cheese, cottage, dry curd",,2022-10-28
397,2341157,survey_fndds_food,"Cheese, cottage, salted, dry curd",,2022-10-28
398,2341158,survey_fndds_food,Puerto Rican white cheese,,2022-10-28
399,2341159,survey_fndds_food,"Cheese, cottage, low fat",,2022-10-28
400,2341160,survey_fndds_food,"Cheese, cottage, lowfat, with fruit",,2022-10-28
401,2341161,survey_fndds_food,"Cheese, cottage, lowfat, low sodium",,2022-10-28
402,2341162,survey_fndds_food,"Cheese, cottage, lowfat, lactose reduced",,2022-10-28
403,2341163,survey_fndds_food,"Cream cheese, regular, plain",,2022-10-28
405,2341165,survey_fndds_food,"Cream cheese, light",,2022-10-28
406,2341166,survey_fndds_food,"Cheese, American and Swiss blends",,2022-10-28
407,2341167,survey_fndds_food,"Cheese, American",,2022-10-28
408,2341168,survey_fndds_food,"Cheese, American, reduced fat",,2022-10-28
410,2341170,survey_fndds_food,"Cheese, American, reduced sodium",,2022-10-28
412,2341172,survey_fndds_food,"Cream cheese spread, fat free",,2022-10-28
413,2341173,survey_fndds_food,"Cheese, processed cheese food",,2022-10-28
414,2341174,survey_fndds_food,"Cheese, processed, with vegetables",,2022-10-28
415,2341175,survey_fndds_food,"Cheese,  with wine",,2022-10-28
417,2341177,survey_fndds_food,"Cheese spread, Swiss cheese base",,2022-10-28
418,2341178,survey_fndds_food,"Cheese spread, cream cheese, regular",,2022-10-28
419,2341179,survey_fndds_food,"Cheese spread, cream cheese, light",,2022-10-28
420,2341180,survey_fndds_food,"Cheese spread, pressurized can",,2022-10-28
421,2341181,survey_fndds_food,Imitation cheese,,2022-10-28
422,2341182,survey_fndds_food,"Cheese, cottage cheese, with gelatin dessert",,2022-10-28
423,2341183,survey_fndds_food,"Cheese, cottage cheese, with gelatin dessert and fruit",,2022-10-28
424,2341184,survey_fndds_food,"Cheese, cottage cheese, with gelatin dessert and vegetables",,2022-10-28
425,2341185,survey_fndds_food,Cheese ball,,2022-10-28
426,2341186,survey_fndds_food,Artichoke dip,,2022-10-28
427,2341187,survey_fndds_food,Spinach and artichoke dip,,2022-10-28
428,2341188,survey_fndds_food,Seafood dip,,2022-10-28
429,2341189,survey_fndds_food,Cheese dip with chili pepper,,2022-10-28
430,2341190,survey_fndds_food,Cheese dip,,2022-10-28
431,2341191,survey_fndds_food,Topping from cheese pizza,,2022-10-28
432,2341192,survey_fndds_food,Topping from vegetable pizza,,2022-10-28
433,2341193,survey_fndds_food,Topping from meat pizza,,2022-10-28
434,2341194,survey_fndds_food,Topping from meat and vegetable pizza,,2022-10-28
435,2341195,survey_fndds_food,Cheese fondue,,2022-10-28
436,2341196,survey_fndds_food,Cheese souffle,,2022-10-28
437,2341197,survey_fndds_food,Welsh rarebit,,2022-10-28
438,2341198,survey_fndds_food,"Cheese sandwich, NFS",,2022-10-28
439,2341199,survey_fndds_food,"Cheese sandwich, American cheese, on white bread",,2022-10-28
440,2341200,survey_fndds_food,"Cheese sandwich, American cheese, on wheat bread",,2022-10-28
441,2341201,survey_fndds_food,"Cheese sandwich, cheddar cheese, on white bread",,2022-10-28
442,2341202,survey_fndds_food,"Cheese sandwich, cheddar cheese, on wheat bread",,2022-10-28
443,2341203,survey_fndds_food,"Cheese sandwich, reduced fat cheese, on white bread",,2022-10-28
444,2341204,survey_fndds_food,"Cheese sandwich, reduced fat cheese, on wheat bread",,2022-10-28
445,2341205,survey_fndds_food,"Grilled cheese sandwich, NFS",,2022-10-28
446,2341206,survey_fndds_food,"Grilled cheese sandwich, American cheese, on white bread",,2022-10-28
447,2341207,survey_fndds_food,"Grilled cheese sandwich, American cheese, on wheat bread",,2022-10-28
448,2341208,survey_fndds_food,"Grilled cheese sandwich, cheddar cheese, on white bread",,2022-10-28
449,2341209,survey_fndds_food,"Grilled cheese sandwich, cheddar cheese, on wheat bread",,2022-10-28
450,2341210,survey_fndds_food,"Grilled cheese sandwich, reduced fat cheese, on white bread",,2022-10-28
451,2341211,survey_fndds_food,"Grilled cheese sandwich, reduced fat cheese, on wheat bread",,2022-10-28
452,2341212,survey_fndds_food,Cheese sauce,,2022-10-28
453,2341213,survey_fndds_food,Alfredo sauce,,2022-10-28
454,2341214,survey_fndds_food,Alfredo sauce with added vegetables,,2022-10-28
455,2341215,survey_fndds_food,Alfredo sauce with meat,,2022-10-28
456,2341216,survey_fndds_food,Alfredo sauce with meat and added vegetables,,2022-10-28
457,2341217,survey_fndds_food,Alfredo sauce with poultry,,2022-10-28
458,2341218,survey_fndds_food,Alfredo sauce with poultry and added vegetables,,2022-10-28
459,2341219,survey_fndds_food,Alfredo sauce with seafood,,2022-10-28
460,2341220,survey_fndds_food,Alfredo sauce with seafood and added vegetables,,2022-10-28
462,2341222,survey_fndds_food,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",,2022-10-28
464,2341224,survey_fndds_food,"Meat, NFS",,2022-10-28
465,2341225,survey_fndds_food,"Meat, ground, NFS",,2022-10-28
467,2341227,survey_fndds_food,"Beef, NFS",,2022-10-28
468,2341228,survey_fndds_food,"Steak, NS as to type of meat, NS as to fat eaten",,2022-10-28
469,2341229,survey_fndds_food,"Beef, steak, NFS",,2022-10-28
470,2341230,survey_fndds_food,"Beef, steak, chuck",,2022-10-28
471,2341231,survey_fndds_food,"Beef, steak, cube",,2022-10-28
472,2341232,survey_fndds_food,"Beef, steak, flank",,2022-10-28
473,2341233,survey_fndds_food,"Beef, steak, ribeye, NS as to fat eaten",,2022-10-28
474,2341234,survey_fndds_food,"Beef, steak, ribeye, lean and fat eaten",,2022-10-28
475,2341235,survey_fndds_food,"Beef, steak, ribeye, lean only eaten",,2022-10-28
476,2341236,survey_fndds_food,"Beef, steak, round",,2022-10-28
477,2341237,survey_fndds_food,"Beef, steak, sirloin, NS as to fat eaten",,2022-10-28
478,2341238,survey_fndds_food,"Beef, steak, sirloin, lean and fat eaten",,2022-10-28
479,2341239,survey_fndds_food,"Beef, steak, sirloin, lean only eaten",,2022-10-28
480,2341240,survey_fndds_food,"Beef, steak, strip, NS as to fat eaten",,2022-10-28
481,2341241,survey_fndds_food,"Beef, steak, strip, lean and fat eaten",,2022-10-28
482,2341242,survey_fndds_food,"Beef, steak, strip, lean only eaten",,2022-10-28
483,2341243,survey_fndds_food,"Beef, steak, T-bone, NS as to fat eaten",,2022-10-28
484,2341244,survey_fndds_food,"Beef, steak, T-bone,  lean and fat eaten",,2022-10-28
485,2341245,survey_fndds_food,"Beef, steak, T-bone, lean only eaten",,2022-10-28
486,2341246,survey_fndds_food,"Beef, steak, tenderloin",,2022-10-28
